unix,date,time,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1.63875E+12,06-12-21,00:00:00,ADA/USDT,1.378,1.382,1.353,1.355,4140129.5,5669121.553,6024
1.63875E+12,05-12-21,23:00:00,ADA/USDT,1.362,1.397,1.357,1.378,13704651.4,18848247.85,23612
1.63874E+12,05-12-21,22:00:00,ADA/USDT,1.359,1.364,1.341,1.363,6065770.2,8205205.454,9287
1.63874E+12,05-12-21,21:00:00,ADA/USDT,1.347,1.364,1.325,1.359,12985142.3,17511620.33,18741
1.63873E+12,05-12-21,20:00:00,ADA/USDT,1.332,1.36,1.319,1.347,10311138.4,13821381.9,18678
1.63873E+12,05-12-21,19:00:00,ADA/USDT,1.33,1.334,1.306,1.332,8893550.8,11725556.5,16510
1.63873E+12,05-12-21,18:00:00,ADA/USDT,1.35,1.35,1.329,1.33,5252395.8,7041496.611,9614
1.63872E+12,05-12-21,17:00:00,ADA/USDT,1.337,1.354,1.326,1.35,8793404.9,11798975.41,14552
1.63872E+12,05-12-21,16:00:00,ADA/USDT,1.316,1.353,1.312,1.337,27175149.6,36359807.35,37193
1.63872E+12,05-12-21,15:00:00,ADA/USDT,1.342,1.356,1.284,1.317,40210519.2,52841256.04,57275
1.63871E+12,05-12-21,14:00:00,ADA/USDT,1.376,1.377,1.336,1.342,23509733.5,31728393.24,31907
1.63871E+12,05-12-21,13:00:00,ADA/USDT,1.388,1.388,1.369,1.375,6946023.4,9563329.531,14134
1.63871E+12,05-12-21,12:00:00,ADA/USDT,1.382,1.402,1.372,1.387,8220790.8,11431770.29,14777
1.6387E+12,05-12-21,11:00:00,ADA/USDT,1.375,1.388,1.371,1.381,6129351.2,8461494.917,11270
1.6387E+12,05-12-21,10:00:00,ADA/USDT,1.368,1.385,1.364,1.375,6689157.5,9209019.17,11037
1.63869E+12,05-12-21,09:00:00,ADA/USDT,1.39,1.391,1.361,1.368,11274289.8,15464215.99,18943
1.63869E+12,05-12-21,08:00:00,ADA/USDT,1.383,1.396,1.372,1.391,6563365,9093964.141,14430
1.63869E+12,05-12-21,07:00:00,ADA/USDT,1.404,1.408,1.377,1.383,7440509.1,10356278.78,14305
1.63868E+12,05-12-21,06:00:00,ADA/USDT,1.407,1.412,1.394,1.404,5630953.6,7902143.306,10672
