unix,date,time,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1.63875E+12,06-12-21,00:00:00,BNB/USDT,557.7,558.2,549.1,549.1,14954.951,8275360.872,8893
1.63875E+12,05-12-21,23:00:00,BNB/USDT,554.2,559.4,551.3,557.8,33444.832,18579430.29,23888
1.63874E+12,05-12-21,22:00:00,BNB/USDT,552.9,554.3,548,554.2,25920.754,14297766.44,17937
1.63874E+12,05-12-21,21:00:00,BNB/USDT,553.7,556.8,547,552.9,45724.084,25233077.57,25059
1.63873E+12,05-12-21,20:00:00,BNB/USDT,553.4,557.6,548.3,553.7,41297.034,22859403.63,24996
1.63873E+12,05-12-21,19:00:00,BNB/USDT,553.7,554.5,546.2,553.4,42333.395,23267261.47,26643
1.63873E+12,05-12-21,18:00:00,BNB/USDT,558.3,558.5,553,553.7,30446.997,16909173.26,21139
1.63872E+12,05-12-21,17:00:00,BNB/USDT,551.8,561,548.4,558.3,54130.442,30067521.07,32021
1.63872E+12,05-12-21,16:00:00,BNB/USDT,547.4,555.9,545.3,551.7,104260.569,57588195.12,52882
1.63872E+12,05-12-21,15:00:00,BNB/USDT,563.5,567.2,539.9,547.3,156924.14,86481718.61,78788
1.63871E+12,05-12-21,14:00:00,BNB/USDT,572.7,573.2,562.4,563.5,88637.258,50164705.56,48507
1.63871E+12,05-12-21,13:00:00,BNB/USDT,576.3,576.6,571.6,572.6,33131.402,19029056.88,25131
1.63871E+12,05-12-21,12:00:00,BNB/USDT,572.8,578.5,570,576.3,44971.234,25891655.78,27889
1.6387E+12,05-12-21,11:00:00,BNB/USDT,574.6,577,570,573,36205.782,20773352.76,25830
1.6387E+12,05-12-21,10:00:00,BNB/USDT,572,577.9,571.1,574.7,40506.74,23290703.6,25585
1.63869E+12,05-12-21,09:00:00,BNB/USDT,580,580.1,569.6,572.1,57863.511,33210494.4,35520
1.63869E+12,05-12-21,08:00:00,BNB/USDT,573.9,582,571.8,580,61563.71,35510046.34,37209
1.63869E+12,05-12-21,07:00:00,BNB/USDT,573.5,574.6,570.7,573.9,42174.408,24144067.32,24839
1.63868E+12,05-12-21,06:00:00,BNB/USDT,571.9,574.7,568.8,573.5,31978.916,18283160.6,23488
1.63868E+12,05-12-21,05:00:00,BNB/USDT,562.9,572.7,562.6,572,39181.167,22256375.4,25649
1.63868E+12,05-12-21,04:00:00,BNB/USDT,565.4,566.4,561.2,562.9,28373.487,15982923.95,18743
1.63867E+12,05-12-21,03:00:00,BNB/USDT,560.8,567,557.7,565.3,33048.758,18613042.89,20429
1.63867E+12,05-12-21,02:00:00,BNB/USDT,559.8,564.4,557.7,560.9,38504.554,21601586.64,23407
1.63867E+12,05-12-21,01:00:00,BNB/USDT,560.8,562.3,554.9,559.7,61877.514,34541518.25,29586
1.63866E+12,05-12-21,00:00:00,BNB/USDT,568.5,574.6,555.1,560.8,85893.032,48591497.98,54681
1.63866E+12,04-12-21,23:00:00,BNB/USDT,564.3,570.4,563.8,568.6,51840.009,29423342.15,34392
1.63866E+12,04-12-21,22:00:00,BNB/USDT,562.4,565.3,559.2,564.3,35683.602,20079955.86,30872
1.63865E+12,04-12-21,21:00:00,BNB/USDT,566.7,567.9,559.3,562.2,34186.592,19276606.15,32729
1.63865E+12,04-12-21,20:00:00,BNB/USDT,568,570.8,564.1,566.7,33967.016,19291835.78,31859
1.63864E+12,04-12-21,19:00:00,BNB/USDT,564.7,569.9,562.5,568,32224.249,18270889.78,30246
1.63864E+12,04-12-21,18:00:00,BNB/USDT,560.7,565.4,559.8,564.5,32307.073,18215575.45,27952
1.63864E+12,04-12-21,17:00:00,BNB/USDT,555.7,562.6,555.3,560.6,41355.527,23116905.58,30893
1.63863E+12,04-12-21,16:00:00,BNB/USDT,562.2,565,554.1,555.7,60784.582,34048155.89,43355
1.63863E+12,04-12-21,15:00:00,BNB/USDT,561.2,568.6,559.8,562.2,84903.905,47856208.41,61065
1.63863E+12,04-12-21,14:00:00,BNB/USDT,549,562.2,547.5,561.1,89827.018,49908356.78,60907
1.63862E+12,04-12-21,13:00:00,BNB/USDT,545.8,549.2,540.3,549,72624.739,39621880.32,39775
1.63862E+12,04-12-21,12:00:00,BNB/USDT,532,549.5,531.9,545.8,117951.016,64001832.2,55091
1.63862E+12,04-12-21,11:00:00,BNB/USDT,537.1,537.5,524.3,532,111016.71,58846865.53,55965
1.63861E+12,04-12-21,10:00:00,BNB/USDT,541.7,543.1,532.9,537.1,86944.875,46752952.52,52628
1.63861E+12,04-12-21,09:00:00,BNB/USDT,541.6,544.5,536.9,541.7,74946.909,40467025.73,45194
1.6386E+12,04-12-21,08:00:00,BNB/USDT,535.8,545.2,533,541.7,88786.875,48014286.14,55890
1.6386E+12,04-12-21,07:00:00,BNB/USDT,535.9,539.9,526.9,535.9,143282.674,76450175.11,76667
1.6386E+12,04-12-21,06:00:00,BNB/USDT,539,544.5,528.6,535.9,242762.577,130435966.3,124931
1.63859E+12,04-12-21,05:00:00,BNB/USDT,547.2,551.9,489.2,539,716244.618,377224383.4,329817
1.63859E+12,04-12-21,04:00:00,BNB/USDT,571.1,579,539.8,547.2,199218.488,111662241.9,109805
1.63859E+12,04-12-21,03:00:00,BNB/USDT,586.5,586.8,571,571.1,60972.897,35299021.9,41076
1.63858E+12,04-12-21,02:00:00,BNB/USDT,586.4,588.7,582.1,586.6,38465.716,22519610.75,33335
1.63858E+12,04-12-21,01:00:00,BNB/USDT,580.7,587.4,576.1,586.4,92143.099,53542547.2,48619
1.63858E+12,04-12-21,00:00:00,BNB/USDT,595.1,596,579.4,580.7,69342.881,40724322.58,45257
1.63857E+12,03-12-21,23:00:00,BNB/USDT,591.7,598.6,591.6,595,35033.593,20858784.88,25382
1.63857E+12,03-12-21,22:00:00,BNB/USDT,595.8,597.2,591.1,591.7,35205.468,20912861.88,32983
1.63857E+12,03-12-21,21:00:00,BNB/USDT,593.7,599.8,592.8,595.7,60030.792,35850329.29,40830
1.63856E+12,03-12-21,20:00:00,BNB/USDT,591.2,594.6,574,593.8,187491.772,109797825.8,112029
1.63856E+12,03-12-21,19:00:00,BNB/USDT,602,602.3,590,591.2,72330.077,43004227,52701
1.63855E+12,03-12-21,18:00:00,BNB/USDT,601.8,604.3,597.1,602.1,48171.009,28978497.44,37913
1.63855E+12,03-12-21,17:00:00,BNB/USDT,598.8,604.5,595,601.9,61413.273,36889358.81,43653
1.63855E+12,03-12-21,16:00:00,BNB/USDT,607.6,607.6,595.1,598.8,129971.814,78123404.67,86925
1.63854E+12,03-12-21,15:00:00,BNB/USDT,615.6,616.5,605.8,607.6,84695.36,51737051.2,55477
1.63854E+12,03-12-21,14:00:00,BNB/USDT,622.1,622.9,614.4,615.7,48649.708,30118693.11,38930
1.63854E+12,03-12-21,13:00:00,BNB/USDT,624.1,626.4,621.2,622.1,48996.909,30590721.06,35729
1.63853E+12,03-12-21,12:00:00,BNB/USDT,624.7,628,623.5,624.1,44292.903,27728442.75,37321
1.63853E+12,03-12-21,11:00:00,BNB/USDT,622.5,624.9,622.4,624.7,35586.744,22205639.21,28645
1.63853E+12,03-12-21,10:00:00,BNB/USDT,620.6,624.7,620.3,622.4,39175.094,24389330.89,29322
1.63852E+12,03-12-21,09:00:00,BNB/USDT,619.9,620.7,618.1,620.6,23745.636,14705174.71,20845
1.63852E+12,03-12-21,08:00:00,BNB/USDT,621.7,622.2,618.5,619.8,28546.003,17701876.52,26914
1.63851E+12,03-12-21,07:00:00,BNB/USDT,619.9,622,616.6,621.7,31542.835,19533406.45,25092
1.63851E+12,03-12-21,06:00:00,BNB/USDT,617.6,620.2,617.3,619.9,29070.269,17989355.21,23343
1.63851E+12,03-12-21,05:00:00,BNB/USDT,615.8,619.4,609.9,617.7,39788.629,24515896.94,27055
1.6385E+12,03-12-21,04:00:00,BNB/USDT,613,617.7,612.3,615.7,26785.722,16494358.81,23383
1.6385E+12,03-12-21,03:00:00,BNB/USDT,611.7,615.1,610.2,613,29119.93,17843652.49,21655
1.6385E+12,03-12-21,02:00:00,BNB/USDT,614.3,616,609.2,611.7,33764.944,20680281.46,27029
1.63849E+12,03-12-21,01:00:00,BNB/USDT,616.6,618.4,612.3,614.3,41822.99,25729827,26390
1.63849E+12,03-12-21,00:00:00,BNB/USDT,619.9,620.5,616.5,616.6,35718.693,22091257.11,24418
1.63849E+12,02-12-21,23:00:00,BNB/USDT,623.9,624.1,618.4,619.9,20686.729,12854017.64,20275
1.63848E+12,02-12-21,22:00:00,BNB/USDT,624.2,625,621.6,623.9,19463.146,12133349.29,20413
1.63848E+12,02-12-21,21:00:00,BNB/USDT,622.6,624.9,620.9,624.3,20380.65,12704640.33,20969
1.63848E+12,02-12-21,20:00:00,BNB/USDT,619.1,623.7,618.1,622.7,26218.878,16293432.34,23217
1.63847E+12,02-12-21,19:00:00,BNB/USDT,619.6,620.9,617.7,619.1,30289.008,18762106.84,26631
1.63847E+12,02-12-21,18:00:00,BNB/USDT,619.7,620,615.2,619.5,26186.85,16175977.87,27646
