unix,date,time,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1.63875E+12,06-12-21,00:00:00,DOT/USDT,28.31,28.35,27.43,27.47,136745.49,3805768.837,5869
1.63875E+12,05-12-21,23:00:00,DOT/USDT,28.16,28.6,28.01,28.31,291868.59,8254209.227,12442
1.63874E+12,05-12-21,22:00:00,DOT/USDT,28,28.19,27.6,28.17,218253.11,6093972.809,7744
1.63874E+12,05-12-21,21:00:00,DOT/USDT,27.77,28.13,27.3,28.01,334576.74,9275142.842,11899
1.63873E+12,05-12-21,20:00:00,DOT/USDT,27.81,28.03,27.5,27.77,241775.23,6723794.202,8434
1.63873E+12,05-12-21,19:00:00,DOT/USDT,27.92,27.96,27.29,27.8,342402.41,9441318.099,11618
1.63873E+12,05-12-21,18:00:00,DOT/USDT,28.09,28.17,27.77,27.92,274041.99,7672164.795,8239
1.63872E+12,05-12-21,17:00:00,DOT/USDT,27.65,28.28,27.37,28.09,482192.66,13453827.78,15925
1.63872E+12,05-12-21,16:00:00,DOT/USDT,26.81,27.85,26.66,27.63,1518841.1,41600167.96,39931
1.63872E+12,05-12-21,15:00:00,DOT/USDT,27.64,27.94,26.33,26.81,1416060.44,38136011.08,42173
1.63871E+12,05-12-21,14:00:00,DOT/USDT,28.45,28.49,27.36,27.64,1011692.7,28131570.56,31630
1.63871E+12,05-12-21,13:00:00,DOT/USDT,28.68,28.7,28.28,28.45,223987.33,6386107.217,9613
1.63871E+12,05-12-21,12:00:00,DOT/USDT,28.46,28.92,28.25,28.68,417452.38,11980751.12,16016
1.6387E+12,05-12-21,11:00:00,DOT/USDT,28.25,28.61,28.16,28.46,293159.95,8323560.622,13075
1.6387E+12,05-12-21,10:00:00,DOT/USDT,28.05,28.52,28,28.25,312523.03,8837419.203,12596
1.63869E+12,05-12-21,09:00:00,DOT/USDT,28.6,28.6,27.93,28.05,381126.92,10747277.94,17378
1.63869E+12,05-12-21,08:00:00,DOT/USDT,28.5,28.72,28.3,28.6,361994.97,10327119.16,12423
1.63869E+12,05-12-21,07:00:00,DOT/USDT,28.87,28.97,28.25,28.5,458292.08,13107024.54,14817
1.63868E+12,05-12-21,06:00:00,DOT/USDT,28.85,28.95,28.51,28.86,367916.36,10574020.02,12637
1.63868E+12,05-12-21,05:00:00,DOT/USDT,28.5,29.03,28.43,28.85,405369.7,11666278.98,15438
1.63868E+12,05-12-21,04:00:00,DOT/USDT,29.05,29.13,28.42,28.51,301024.49,8637712.349,11635
1.63867E+12,05-12-21,03:00:00,DOT/USDT,28.55,29.25,28.38,29.06,497196.15,14329138.51,16055
1.63867E+12,05-12-21,02:00:00,DOT/USDT,28.76,29,28.41,28.54,294841.08,8454024.522,11519
1.63867E+12,05-12-21,01:00:00,DOT/USDT,28.84,28.96,28.39,28.76,448058.38,12861938.98,16811
1.63866E+12,05-12-21,00:00:00,DOT/USDT,29.38,29.74,28.31,28.85,642004.74,18652833.76,27272
1.63866E+12,04-12-21,23:00:00,DOT/USDT,29.29,29.54,29.05,29.38,325171.17,9533825.459,12093
1.63866E+12,04-12-21,22:00:00,DOT/USDT,29.14,29.44,28.68,29.3,418906.97,12187655.45,16769
1.63865E+12,04-12-21,21:00:00,DOT/USDT,29.7,29.78,28.87,29.14,388042.44,11369010.81,17465
1.63865E+12,04-12-21,20:00:00,DOT/USDT,29.71,29.96,29.36,29.7,405791.19,12049200.16,16603
1.63864E+12,04-12-21,19:00:00,DOT/USDT,29.08,29.87,28.97,29.7,505816.68,14930805.97,24508
1.63864E+12,04-12-21,18:00:00,DOT/USDT,28.59,29.14,28.49,29.09,429719.05,12420747.14,16315
1.63864E+12,04-12-21,17:00:00,DOT/USDT,28.22,28.68,27.92,28.6,588954.25,16633182.79,20116
1.63863E+12,04-12-21,16:00:00,DOT/USDT,28.87,29.17,28.15,28.23,533822.96,15340118.09,20763
1.63863E+12,04-12-21,15:00:00,DOT/USDT,28.69,29.23,28.61,28.88,950106.31,27517649.35,31994
1.63863E+12,04-12-21,14:00:00,DOT/USDT,28.41,28.76,28.12,28.69,774743.39,22007394.34,26229
1.63862E+12,04-12-21,13:00:00,DOT/USDT,28.1,28.44,27.7,28.42,653271.25,18390465.17,22407
1.63862E+12,04-12-21,12:00:00,DOT/USDT,27.65,28.56,27.65,28.09,633569.52,17857938.03,24081
1.63862E+12,04-12-21,11:00:00,DOT/USDT,28.37,28.4,27.11,27.65,925087.81,25586930.29,31064
1.63861E+12,04-12-21,10:00:00,DOT/USDT,28.46,28.7,27.74,28.37,922522.27,26061177.53,33973
1.63861E+12,04-12-21,09:00:00,DOT/USDT,28.17,28.65,27.87,28.46,877087.57,24798035.8,31649
1.6386E+12,04-12-21,08:00:00,DOT/USDT,27.77,28.49,27.58,28.16,1314889.65,37025485.37,47929
1.6386E+12,04-12-21,07:00:00,DOT/USDT,27.33,27.9,26.59,27.77,1565439.13,42773533.5,55484
1.6386E+12,04-12-21,06:00:00,DOT/USDT,27.95,28.6,27.11,27.33,3211976.46,89323343.34,110752
1.63859E+12,04-12-21,05:00:00,DOT/USDT,29.95,30.18,24.35,27.94,6430306.42,176950139.2,245701
1.63859E+12,04-12-21,04:00:00,DOT/USDT,31.41,32.36,29.47,29.95,1361217.74,41864696.84,60049
1.63859E+12,04-12-21,03:00:00,DOT/USDT,32.91,32.93,31.38,31.41,468587.85,15038268.09,28749
1.63858E+12,04-12-21,02:00:00,DOT/USDT,32.96,33.06,32.41,32.91,223818.71,7322998.007,12378
1.63858E+12,04-12-21,01:00:00,DOT/USDT,32.88,33.09,32.46,32.96,405406.97,13290159.18,21488
1.63858E+12,04-12-21,00:00:00,DOT/USDT,33.7,33.86,32.83,32.89,293782.14,9791969.339,18323
1.63857E+12,03-12-21,23:00:00,DOT/USDT,33.55,34,33.55,33.7,181215.13,6119769.835,7715
1.63857E+12,03-12-21,22:00:00,DOT/USDT,34,34.01,33.53,33.54,282875.5,9554938.241,12052
1.63857E+12,03-12-21,21:00:00,DOT/USDT,33.78,34.25,33.71,33.99,327152.3,11136568.53,18073
1.63856E+12,03-12-21,20:00:00,DOT/USDT,33.59,33.87,32.56,33.79,1578679.72,52489468.88,73157
1.63856E+12,03-12-21,19:00:00,DOT/USDT,34.32,34.34,33.5,33.58,512159.43,17328951.2,26798
1.63855E+12,03-12-21,18:00:00,DOT/USDT,34.19,34.46,33.9,34.32,275754.94,9435471.018,12228
1.63855E+12,03-12-21,17:00:00,DOT/USDT,34.08,34.42,33.72,34.2,488285.93,16642053.77,26426
1.63855E+12,03-12-21,16:00:00,DOT/USDT,35.27,35.27,33.87,34.08,1164585.98,40095660.27,63314
1.63854E+12,03-12-21,15:00:00,DOT/USDT,35.84,35.91,35.16,35.27,528066.16,18752757.32,24914
1.63854E+12,03-12-21,14:00:00,DOT/USDT,36.38,36.5,35.75,35.84,448106.79,16205882.81,22778
1.63854E+12,03-12-21,13:00:00,DOT/USDT,36.42,36.84,36.25,36.39,412815.03,15082250.38,16165
1.63853E+12,03-12-21,12:00:00,DOT/USDT,36.46,36.77,36.32,36.41,323794.89,11839617.99,18420
1.63853E+12,03-12-21,11:00:00,DOT/USDT,36.1,36.53,36.09,36.47,248636.44,9033798.068,14243
1.63853E+12,03-12-21,10:00:00,DOT/USDT,35.93,36.27,35.92,36.09,427047.98,15421178.97,16054
1.63852E+12,03-12-21,09:00:00,DOT/USDT,35.92,35.96,35.7,35.92,135339.63,4846230.517,6211
1.63852E+12,03-12-21,08:00:00,DOT/USDT,35.87,35.96,35.74,35.92,136415.55,4889650.413,5665
1.63851E+12,03-12-21,07:00:00,DOT/USDT,36.02,36.06,35.72,35.87,194651.12,6979892.527,8412
1.63851E+12,03-12-21,06:00:00,DOT/USDT,35.64,36.2,35.53,36.02,245571.79,8805425.661,16137
1.63851E+12,03-12-21,05:00:00,DOT/USDT,35.58,35.85,35.2,35.64,256520.43,9144276.73,13231
1.6385E+12,03-12-21,04:00:00,DOT/USDT,35.5,35.75,35.41,35.59,197253.31,7020278.24,7845
1.6385E+12,03-12-21,03:00:00,DOT/USDT,35.31,35.65,35.25,35.51,163873.74,5811857.593,7244
1.6385E+12,03-12-21,02:00:00,DOT/USDT,35.79,36.09,35.14,35.31,303811.11,10809349.1,20358
1.63849E+12,03-12-21,01:00:00,DOT/USDT,35.71,35.9,35.59,35.79,128361.41,4589830.394,6324
1.63849E+12,03-12-21,00:00:00,DOT/USDT,35.76,35.92,35.64,35.72,153558.11,5492604.83,6730
1.63849E+12,02-12-21,23:00:00,DOT/USDT,36.07,36.12,35.68,35.75,116089.34,4162854.245,7767
1.63848E+12,02-12-21,22:00:00,DOT/USDT,36.21,36.21,35.91,36.07,93837.15,3381986.988,5526
1.63848E+12,02-12-21,21:00:00,DOT/USDT,36.23,36.27,36.05,36.21,97365.56,3521480.685,5056
1.63848E+12,02-12-21,20:00:00,DOT/USDT,35.84,36.32,35.77,36.24,152107.3,5494984.246,8814
1.63847E+12,02-12-21,19:00:00,DOT/USDT,36.09,36.16,35.75,35.84,144632.07,5199994.334,7634
1.63847E+12,02-12-21,18:00:00,DOT/USDT,36,36.09,35.65,36.09,207998.84,7461070.239,9495
1.63846E+12,02-12-21,17:00:00,DOT/USDT,35.92,36.12,35.86,35.99,209563.53,7544873.149,11721
1.63846E+12,02-12-21,16:00:00,DOT/USDT,36.13,36.53,35.63,35.92,475267.35,17143056.7,24541
1.63846E+12,02-12-21,15:00:00,DOT/USDT,36.44,36.61,35.72,36.13,419003.69,15151694.56,23292
1.63845E+12,02-12-21,14:00:00,DOT/USDT,36.03,36.55,35.94,36.44,331073.52,11993259.61,22161
1.63845E+12,02-12-21,13:00:00,DOT/USDT,35.98,36.31,35.71,36.03,335728.24,12095817.23,20107
1.63845E+12,02-12-21,12:00:00,DOT/USDT,35.75,36.06,35.44,35.98,232307.25,8301706.462,12388
1.63844E+12,02-12-21,11:00:00,DOT/USDT,35.86,35.9,35.39,35.75,205605.76,7322591.785,11970
1.63844E+12,02-12-21,10:00:00,DOT/USDT,36.07,36.1,35.71,35.85,148956.32,5345624.78,7358
1.63844E+12,02-12-21,09:00:00,DOT/USDT,36.01,36.21,35.83,36.07,213066.54,7676758.924,12504
1.63843E+12,02-12-21,08:00:00,DOT/USDT,35.78,36.06,35.74,36.01,236609.84,8501198.686,12849
1.63843E+12,02-12-21,07:00:00,DOT/USDT,35.56,35.84,35.55,35.79,118156.75,4217375.696,7378
1.63842E+12,02-12-21,06:00:00,DOT/USDT,35.7,35.7,35.32,35.55,175767.02,6237894.506,8805
1.63842E+12,02-12-21,05:00:00,DOT/USDT,35.39,35.77,35.36,35.7,164779.78,5858895.929,9613
1.63842E+12,02-12-21,04:00:00,DOT/USDT,35.14,35.48,35.12,35.39,285832.22,10097153.36,11922
1.63841E+12,02-12-21,03:00:00,DOT/USDT,36.33,36.34,35.05,35.14,729431.26,25859673.19,42485
1.63841E+12,02-12-21,02:00:00,DOT/USDT,36.66,36.67,36.28,36.33,136829.57,4982788.64,5767
1.63841E+12,02-12-21,01:00:00,DOT/USDT,36.47,36.67,36.13,36.65,194340.9,7079465.248,8439
1.6384E+12,02-12-21,00:00:00,DOT/USDT,36.76,36.79,36.13,36.47,228890.26,8346899.556,11262
1.6384E+12,01-12-21,23:00:00,DOT/USDT,36.65,36.8,36.6,36.76,163784.09,6012118.981,5446
1.6384E+12,01-12-21,22:00:00,DOT/USDT,36.74,36.82,36.44,36.65,140533.08,5144957.425,6652
1.63839E+12,01-12-21,21:00:00,DOT/USDT,36.71,36.82,36.22,36.73,389642.15,14241227.02,21744
1.63839E+12,01-12-21,20:00:00,DOT/USDT,37.45,37.51,36.57,36.71,421136.95,15570185.17,28306
1.63839E+12,01-12-21,19:00:00,DOT/USDT,37.39,37.7,37.04,37.45,310963.48,11618218.7,19249
