unix,date,time,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1.64E+12,06-12-21,00:00:00,LTC/USDT,156.3,156.5,153,153.2,9772.783,1512365.735,2428
1.64E+12,05-12-21,23:00:00,LTC/USDT,155.5,157.3,154.3,156.3,24127.617,3760301.866,5717
1.64E+12,05-12-21,22:00:00,LTC/USDT,154.9,155.5,152.9,155.5,16064.218,2479170.986,4341
1.64E+12,05-12-21,21:00:00,LTC/USDT,154.6,155.5,151.3,154.8,33534.808,5154225.987,7392
1.64E+12,05-12-21,20:00:00,LTC/USDT,154.1,155.6,152.5,154.6,19655.006,3034890.208,5660
1.64E+12,05-12-21,19:00:00,LTC/USDT,153.7,154.1,150.6,154.1,29146.852,4434253.261,6946
1.64E+12,05-12-21,18:00:00,LTC/USDT,155.3,155.3,153.6,153.6,15368.863,2373930.697,4011
1.64E+12,05-12-21,17:00:00,LTC/USDT,153.3,155.7,151.9,155.3,42094.844,6480729.033,8335
1.64E+12,05-12-21,16:00:00,LTC/USDT,150.3,156.3,149.9,153.2,169107.906,25969242.19,32149
1.64E+12,05-12-21,15:00:00,LTC/USDT,153.2,156.1,148,150.3,143450.87,21673906.56,28889
1.64E+12,05-12-21,14:00:00,LTC/USDT,157.3,157.6,152,153.3,101559.307,15634201.53,22089
1.64E+12,05-12-21,13:00:00,LTC/USDT,158.4,158.5,156.6,157.3,22602.464,3562340.217,6000
1.64E+12,05-12-21,12:00:00,LTC/USDT,157.8,160.1,156.3,158.5,38512.078,6113068.503,9754
1.64E+12,05-12-21,11:00:00,LTC/USDT,158,159.1,156.5,157.9,21653.743,3418363.061,6938
1.64E+12,05-12-21,10:00:00,LTC/USDT,157.2,159.4,156.6,157.9,31368.532,4965594.274,7817
1.64E+12,05-12-21,09:00:00,LTC/USDT,160.2,160.3,156.1,157.2,41765.043,6586629.565,10884
1.64E+12,05-12-21,08:00:00,LTC/USDT,159.7,160.7,158.3,160.3,41995.229,6698215.21,7645
1.64E+12,05-12-21,07:00:00,LTC/USDT,161.6,162,158.9,159.7,38903.894,6229412.333,7670
1.64E+12,05-12-21,06:00:00,LTC/USDT,160.9,162.6,159.4,161.6,46465.19,7485286.486,10152
1.64E+12,05-12-21,05:00:00,LTC/USDT,159,161.2,158.8,160.9,21485.294,3439090.471,6637
1.64E+12,05-12-21,04:00:00,LTC/USDT,161.7,162,158.7,159,23272.285,3722226.278,6347
1.64E+12,05-12-21,03:00:00,LTC/USDT,161.7,162.8,160.1,161.6,27368.408,4427030.111,6457
1.64E+12,05-12-21,02:00:00,LTC/USDT,161.6,162.7,160.3,161.6,18813.511,3036988.527,5944
1.64E+12,05-12-21,01:00:00,LTC/USDT,161.3,162.8,159.2,161.6,37698.76,6064076.112,9522
1.64E+12,05-12-21,00:00:00,LTC/USDT,162.7,165,157.5,161.3,69852.876,11291420.83,20966
1.64E+12,04-12-21,23:00:00,LTC/USDT,165.1,166.6,161.4,162.7,28819.765,4713574.861,8193
1.64E+12,04-12-21,22:00:00,LTC/USDT,162.3,165.4,162.3,165.1,14174.553,2323049.654,5070
1.64E+12,04-12-21,21:00:00,LTC/USDT,165.9,166.1,161.5,162.3,34511.339,5637702.101,8387
1.64E+12,04-12-21,20:00:00,LTC/USDT,164.2,166.5,162.6,165.8,47604.217,7830875,11851
1.64E+12,04-12-21,19:00:00,LTC/USDT,160.4,164.8,159.2,164.1,37767.754,6138385.094,12824
1.64E+12,04-12-21,18:00:00,LTC/USDT,157.6,160.4,157,160.4,37949.98,6019249.412,8627
1.64E+12,04-12-21,17:00:00,LTC/USDT,155.7,158,155.4,157.6,34818.392,5457324.609,8209
1.64E+12,04-12-21,16:00:00,LTC/USDT,158.7,160.2,155.5,155.8,46824.466,7392864.809,11986
1.64E+12,04-12-21,15:00:00,LTC/USDT,157.6,161.2,157.2,158.8,93788.132,14925739.01,16852
1.64E+12,04-12-21,14:00:00,LTC/USDT,154,157.6,152.9,157.6,77042.314,11925003.41,13680
1.64E+12,04-12-21,13:00:00,LTC/USDT,152.6,154.6,150.1,154,60484.628,9228897.148,11254
1.64E+12,04-12-21,12:00:00,LTC/USDT,149.4,153.8,149.4,152.6,79194.53,12029794.89,13971
1.64E+12,04-12-21,11:00:00,LTC/USDT,152.2,152.2,146.4,149.3,170874.509,25584557.14,20648
1.64E+12,04-12-21,10:00:00,LTC/USDT,153.3,154.1,149.4,152.2,151183.98,22892114.01,20645
1.64E+12,04-12-21,09:00:00,LTC/USDT,152.8,156.8,151.8,153.3,99248.253,15248963.55,17276
1.64E+12,04-12-21,08:00:00,LTC/USDT,151.6,155.2,150.8,152.9,93052.399,14272480.45,22554
1.64E+12,04-12-21,07:00:00,LTC/USDT,152.9,153.9,148.4,151.6,204544.755,30915161.05,35135
1.64E+12,04-12-21,06:00:00,LTC/USDT,153.9,157.6,150,152.8,321803.021,49579999.21,60967
1.64E+12,04-12-21,05:00:00,LTC/USDT,167,168.7,129.3,153.8,774343.6553,115989764,171206
1.64E+12,04-12-21,04:00:00,LTC/USDT,175.8,181.6,160.7,167,169723.835,29155503.91,45246
1.64E+12,04-12-21,03:00:00,LTC/USDT,184.7,184.8,175.5,175.5,74212.959,13358713.01,19584
1.64E+12,04-12-21,02:00:00,LTC/USDT,184.1,184.8,182.5,184.7,21712.574,3988467.369,7263
1.64E+12,04-12-21,01:00:00,LTC/USDT,184.5,185,181.9,184,52170.159,9568576.721,15538
1.64E+12,04-12-21,00:00:00,LTC/USDT,188,189.3,183.7,184.5,32216.6,5998526.748,10177
1.64E+12,03-12-21,23:00:00,LTC/USDT,187.5,190.3,187.3,188,22882.976,4318561.758,6407
1.64E+12,03-12-21,22:00:00,LTC/USDT,189.7,189.7,187.1,187.4,18504.921,3491340.218,7470
1.64E+12,03-12-21,21:00:00,LTC/USDT,188.3,191.5,188,189.8,43071.681,8187078.371,11884
1.64E+12,03-12-21,20:00:00,LTC/USDT,189.2,189.5,179.3,188.4,170429.849,31555137.28,45624
1.64E+12,03-12-21,19:00:00,LTC/USDT,194.5,194.6,188.4,189.3,53739.442,10260439.15,16334
1.64E+12,03-12-21,18:00:00,LTC/USDT,194.2,195.7,192.4,194.5,30224.722,5871413.998,11695
1.64E+12,03-12-21,17:00:00,LTC/USDT,193.4,194.8,191.1,194.2,41574.817,8034082.33,13851
1.64E+12,03-12-21,16:00:00,LTC/USDT,198.2,198.3,192.7,193.4,87250.969,17028251.85,25906
1.64E+12,03-12-21,15:00:00,LTC/USDT,202,202.2,197.2,198.3,50605.088,10108136.59,17027
1.64E+12,03-12-21,14:00:00,LTC/USDT,205.3,205.4,201.4,202.1,29437.631,5995133.05,10626
1.64E+12,03-12-21,13:00:00,LTC/USDT,205.4,208.1,205.2,205.3,27196.782,5616583.355,9161
1.64E+12,03-12-21,12:00:00,LTC/USDT,206.6,207.3,204.9,205.4,25209.215,5196972.804,6412
1.64E+12,03-12-21,11:00:00,LTC/USDT,205.2,207.1,205.1,206.6,24999.014,5157956.69,6257
1.64E+12,03-12-21,10:00:00,LTC/USDT,205.4,207.6,204.6,205.1,33222.944,6850797.981,11516
1.64E+12,03-12-21,09:00:00,LTC/USDT,203.7,205.7,203,205.5,18429.287,3761666.022,6253
1.64E+12,03-12-21,08:00:00,LTC/USDT,203.4,203.8,202.8,203.7,12466.178,2535260.276,3972
1.64E+12,03-12-21,07:00:00,LTC/USDT,203.9,204,202.4,203.4,14537.668,2953069.394,4231
1.64E+12,03-12-21,06:00:00,LTC/USDT,202.7,204.1,202.5,203.9,13595.301,2764704.579,4584
1.64E+12,03-12-21,05:00:00,LTC/USDT,201.4,203.4,200.9,202.7,13608.451,2747890.45,5067
1.64E+12,03-12-21,04:00:00,LTC/USDT,200.3,201.9,199.7,201.3,12662.314,2544403.155,4690
1.64E+12,03-12-21,03:00:00,LTC/USDT,201.1,201.4,198.2,200.2,31549.536,6310755.645,13250
1.64E+12,03-12-21,02:00:00,LTC/USDT,202.7,203.2,200.5,201,20710.499,4182855.484,7921
1.64E+12,03-12-21,01:00:00,LTC/USDT,203,203.8,202.2,202.7,15083.481,3061154.414,5681
1.64E+12,03-12-21,00:00:00,LTC/USDT,203.5,204.4,202.7,203.1,14093.634,2867727.65,4728
1.64E+12,02-12-21,23:00:00,LTC/USDT,204.8,204.8,203.1,203.5,13667.749,2786972.028,4776
