unix,date,time,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1.63875E+12,06-12-21,00:00:00,SOL/USDT,196.49,197.08,191.83,192.33,21138.82,4111976.56,8701
1.63875E+12,05-12-21,23:00:00,SOL/USDT,190.43,197.78,189.56,196.43,115754.16,22557299.57,40283
1.63874E+12,05-12-21,22:00:00,SOL/USDT,190.4,190.95,187.38,190.42,50878.68,9632609.48,12356
1.63874E+12,05-12-21,21:00:00,SOL/USDT,190.44,191.92,186.64,190.46,90305.81,17099875.9,21882
1.63873E+12,05-12-21,20:00:00,SOL/USDT,190.18,192.67,186.9,190.37,86421.93,16453280.75,26348
1.63873E+12,05-12-21,19:00:00,SOL/USDT,190.36,192,186.19,190.2,112739.5,21238338.62,27055
1.63873E+12,05-12-21,18:00:00,SOL/USDT,190.23,190.69,187.85,190.31,76641.94,14523036.71,17157
1.63872E+12,05-12-21,17:00:00,SOL/USDT,187.72,191.04,185.61,190.2,113187.24,21320114.51,30435
1.63872E+12,05-12-21,16:00:00,SOL/USDT,185.35,189.34,184.87,187.67,210328.4,39378834.79,58358
1.63872E+12,05-12-21,15:00:00,SOL/USDT,190.54,191.77,181.44,185.45,303231.96,56245107.71,85304
1.63871E+12,05-12-21,14:00:00,SOL/USDT,194.84,195.35,190.15,190.55,150543.73,28937606.15,44719
1.63871E+12,05-12-21,13:00:00,SOL/USDT,197.19,197.36,193.83,194.81,69902.64,13653906.59,26760
1.63871E+12,05-12-21,12:00:00,SOL/USDT,196.17,199.58,194.68,197.21,89361.66,17629583.52,25416
1.6387E+12,05-12-21,11:00:00,SOL/USDT,198.2,199.74,195.19,196.06,70407.54,13902479.26,19917
1.6387E+12,05-12-21,10:00:00,SOL/USDT,196.78,199.89,196.26,198.22,59990.06,11895925.2,17319
1.63869E+12,05-12-21,09:00:00,SOL/USDT,201.11,201.55,196.04,196.75,84778.4,16799869.03,30356
1.63869E+12,05-12-21,08:00:00,SOL/USDT,200.49,201.62,197.92,201.09,52042.05,10400320.82,18219
1.63869E+12,05-12-21,07:00:00,SOL/USDT,202.1,203.35,199.1,200.49,72606.52,14636822.44,21326
1.63868E+12,05-12-21,06:00:00,SOL/USDT,199.54,202.68,197.9,202.1,71725.46,14385727,35980
1.63868E+12,05-12-21,05:00:00,SOL/USDT,195.78,199.9,194.1,199.58,84445.67,16624497.31,28229
1.63868E+12,05-12-21,04:00:00,SOL/USDT,196.51,197.18,194.57,195.76,53315.35,10440971.99,16232
1.63867E+12,05-12-21,03:00:00,SOL/USDT,193.73,197.14,191.15,196.5,142873.64,27792346.01,43461
1.63867E+12,05-12-21,02:00:00,SOL/USDT,195.75,196.75,192.82,193.75,70012.98,13629858.39,28358
1.63867E+12,05-12-21,01:00:00,SOL/USDT,197.19,197.68,194.22,195.75,90664.8,17776286.86,30038
1.63866E+12,05-12-21,00:00:00,SOL/USDT,200.68,204.51,193.33,197.23,160132.14,31752099.24,64786
1.63866E+12,04-12-21,23:00:00,SOL/USDT,203.46,204.8,199.16,200.67,154843.93,31244145.59,33809
1.63866E+12,04-12-21,22:00:00,SOL/USDT,201.21,205.9,200.5,203.46,80886.94,16448869.21,31934
1.63865E+12,04-12-21,21:00:00,SOL/USDT,206.94,207.53,198.75,201.16,113103.23,22911050.94,39094
