unix,date,time,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1.63875E+12,06-12-21,00:00:00,USDC/USDT,0.999,0.999,0.9989,0.9989,1291458,1290075.05,562
1.63875E+12,05-12-21,23:00:00,USDC/USDT,0.9989,0.999,0.9989,0.999,2841706,2838678.117,1674
1.63874E+12,05-12-21,22:00:00,USDC/USDT,0.999,0.999,0.9989,0.9989,3165630,3162293.622,2513
1.63874E+12,05-12-21,21:00:00,USDC/USDT,0.9989,0.999,0.9988,0.999,4786671,4781542.836,2108
1.63873E+12,05-12-21,20:00:00,USDC/USDT,0.9989,0.9989,0.9988,0.9989,2848792,2845541.794,1332
1.63873E+12,05-12-21,19:00:00,USDC/USDT,0.9989,0.9989,0.9988,0.9988,4455258,4450064.926,1417
1.63873E+12,05-12-21,18:00:00,USDC/USDT,0.9988,0.9989,0.9988,0.9988,5408218,5401993.122,1353
1.63872E+12,05-12-21,17:00:00,USDC/USDT,0.9988,0.9989,0.9988,0.9988,3503947,3499936.003,1801
1.63872E+12,05-12-21,16:00:00,USDC/USDT,0.9988,0.9989,0.9988,0.9988,8316400,8306726.231,2884
1.63872E+12,05-12-21,15:00:00,USDC/USDT,0.9989,0.9989,0.9988,0.9989,8207099,8197813.01,2999
1.63871E+12,05-12-21,14:00:00,USDC/USDT,0.9983,0.9991,0.9983,0.9989,11614106,11596697.27,3532
1.63871E+12,05-12-21,13:00:00,USDC/USDT,0.9985,0.9985,0.9983,0.9984,4892884,4885231.877,1847
1.63871E+12,05-12-21,12:00:00,USDC/USDT,0.9985,0.9985,0.9984,0.9984,3565925,3560521.83,1707
1.6387E+12,05-12-21,11:00:00,USDC/USDT,0.9983,0.9985,0.9983,0.9985,5423342,5414868.869,1462
1.6387E+12,05-12-21,10:00:00,USDC/USDT,0.9983,0.9984,0.9983,0.9984,2572837,2568569.959,1443
1.63869E+12,05-12-21,09:00:00,USDC/USDT,0.9985,0.9985,0.9983,0.9983,3166571,3161311.971,1652
1.63869E+12,05-12-21,08:00:00,USDC/USDT,0.9987,0.9987,0.9984,0.9984,5267106,5259307.886,1867
1.63869E+12,05-12-21,07:00:00,USDC/USDT,0.9989,0.9989,0.9986,0.9986,6108307,6100268.554,2072
1.63868E+12,05-12-21,06:00:00,USDC/USDT,0.9988,0.9989,0.9988,0.9988,5009367,5003505.389,1870
1.63868E+12,05-12-21,05:00:00,USDC/USDT,0.9989,0.9989,0.9988,0.9988,2811457,2808223.032,1344
1.63868E+12,05-12-21,04:00:00,USDC/USDT,0.9989,0.9989,0.9988,0.9988,3541406,3537331.089,1284
